45
George Washington;(1732-1799);30 april 1789;4 maart 1797;2
John Adams;(1735-1826);4 maart 1797;4 maart 1801;1
Thomas Jefferson;(1743-1826);4 maart 1801;4 maart 1809;2
James Madison;(1751-1836);4 maart 1809;4 maart 1817;2
James Monroe;(1758-1831);4 maart 1817;4 maart 1825;2
John Quincy Adams;(1767-1848);4 maart 1825;4 maart 1829;1
Andrew Jackson;(1767-1845);4 maart 1829;4 maart 1837;2
Martin Van Buren;(1782-1862);4 maart 1837;4 maart 1841;1
William Henry Harrison;(1773-1841);4 maart 1841;4 april 1841;0
John Tyler;(1790-1862);4 april 1841;4 maart 1845;1
James Knox Polk;(1795-1849);4 maart 1845;4 maart 1849;1
Zachary Taylor;(1784-1850);4 maart 1849;9 juli 1850;0
Millard Fillmore;(1800-1874);9 juli 1850;4 maart 1853;1
Franklin Pierce;(1804-1869);4 maart 1853;4 maart 1857;1
James Buchanan;(1791-1868);4 maart 1857;4 maart 1861;1
Abraham Lincoln;(1809-1865);4 maart 1861;15 april 1865;1
Andrew Johnson;(1808-1875);15 april 1865;4 maart 1869;1
Ulysses Simpson Grant;(1822-1885);4 maart 1869;4 maart 1877;2
Rutherford Birchard Hayes;(1822-1893);4 maart 1877;4 maart 1881;1
James Abram Garfield;(1831-1881);4 maart 1881;19 september 1881;0
Chester Alan Arthur;(1829-1886);19 september 1881;4 maart 1885;1
Stephen Grover Cleveland;(1837-1908);4 maart 1885;4 maart 1889;1
Benjamin Harrison;(1833-1901);4 maart 1889;4 maart 1893;1
Stephen Grover Cleveland;(1837-1908);4 maart 1893;4 maart 1897;1
William McKinley;(1843-1901);4 maart 1897;14 september 1901;1
Theodore Roosevelt;(1858-1919);14 september 1901;4 maart 1909;2
William Howard Taft;(1857-1930);4 maart 1909;4 maart 1913;1
Thomas Woodrow Wilson;(1856-1924);4 maart 1913;4 maart 1921;2
Warren Gamaliel Harding;(1865-1923);4 maart 1921;2 augustus 1923;0
John Calvin Coolidge;(1872-1933);2 augustus 1923;4 maart 1929;2
Herbert Clark Hoover;(1874-1964);4 maart 1929;4 maart 1933;1
Franklin Delano Roosevelt;(1882-1945);4 maart 1933;12 april 1945;3
Harry S. Truman;(1884-1972);12 april 1945;20 januari 1953;2
Dwight David Eisenhower;(1890-1969);20 januari 1953;20 januari 1961;2
John Fitzgerald Kennedy;(1917-1963);20 januari 1961;22 november 1963;0
Lyndon Baines Johnson;(1908-1973);22 november 1963;20 januari 1969;2
Richard Milhous Nixon;(1913-1994);20 januari 1969;9 augustus 1974;1
Gerald Rudolph Ford;(1913-2006);9 augustus 1974;20 januari 1977;1
James Earl (Jimmy) Carter;(1924-...);20 januari 1977;20 januari 1981;1
Ronald Wilson Reagan;(1911-2004);20 januari 1981;20 januari 1989;2
George Herbert Walker Bush;(1924-...);20 januari 1989;20 januari 1993;1
William Jefferson (Bill) Clinton;(1946-...);20 januari 1993;20 januari 2001;2
George Walker Bush;(1946-...);20 januari 2001;20 januari 2009;2
Barack Hussein Obama;(1961-...);20 januari 2009;20 januari 2017;2
Donald John Trump;(1946-...);20 januari 2017;NB;0
